Geneid	CG-in_S31	CG-out_S32	Nav-in_S36	Nav-out_S1	QB-in_S33	QB-out_S34
ENSG00000203963	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000252433	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000275678	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162594	0.22391413887906989	0.0	0.21689150726615078	0.0	0.20041156932613655	0.0
ENSG00000253074	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000252116	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228523	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000081985	0.0	0.16073670721431632	0.1673953589034998	0.0	0.15467625726163198	0.0
ENSG00000142864	148.38305166816093	80.83942356097435	170.77663175368056	90.10929170184681	142.78823024475363	85.9584980121685
ENSG00000223263	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000235200	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000207504	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000238139	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000242482	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000232048	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000116717	168.29728663979245	181.85614323147664	108.9076308592787	105.73800374628703	150.6323964072114	117.01386465853086
ENSG00000172380	68.29035221160103	97.22035882848975	118.19742352666162	101.62986772911589	103.39531527379594	127.58780574650201
ENSG00000238778	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000232284	0.633357135686512	0.5890895944919489	0.20449770685094218	0.17297984127068564	0.5668784389510719	0.6257070129314476
ENSG00000235055	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000162595	7.892891033739218	8.00861381035646	3.1276414851136	8.230752427700793	6.101102178902046	9.569726924113384
ENSG00000228431	0.0	0.0	0.0	0.0	0.0	1.8722580309218184
ENSG00000116729	83.15416553875677	111.29364289047321	92.91352624385085	109.44061812539434	80.28642630335453	81.50292377884409
ENSG00000234383	0.5500206704646025	0.5115778057430082	1.0655406830654353	1.8026320300839869	0.0	2.173508571235555
ENSG00000221203	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229133	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225242	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237622	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229440	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000116745	2.802787324589737	0.2606890734245981	2.986371684530138	1.1482282567105857	2.257739989615476	0.27689333330874405
ENSG00000024526	26.0197786688285	1.613411033694921	21.12311679301805	1.624322899736926	10.42445665936956	0.7344426828616077
ENSG00000233589	6.858070234855512	2.126245255119378	4.428653463990716	3.121745572931905	4.774179353041059	0.0
ENSG00000234264	0.0	0.0	0.0	0.0	0.0	0.0
